#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 1; 3374583552; Victor Antonio Garcia Sanchez; 31; 18; 25/05/2020; 25/05/2038; 14; 1(A); A1; Alto; 1 Hora(s); Homicidio
PPL 2; 6804020513; Michael Cesar Romero Rivera; 45; 28; 17/02/1999; 17/02/2027; 3; 1(A); A2; Alto; 1 Hora(s); Homicidio
PPL 3; 2246446758; Victor Cesar Paredes Hidalgo; 37; 26; 16/07/2008; 16/07/2034; 10; 1(A); A3; Alto; 1 Hora(s); Homicidio
PPL 4; 1584863273; Gonzalo Sergio Perero Hidalgo; 37; 12; 11/08/2016; 11/08/2028; 4; 1(A); A4; Alto; 1 Hora(s); Homicidio
PPL 5; 5229467204; Michael Adrian Romero Hidalgo; 58; 42; 09/12/1986; 09/12/2028; 4; 1(A); A5; Alto; 1 Hora(s); Narcotrafico
PPL 6; 7909021484; Dario Julian Paredes Sanchez; 34; 15; 23/09/2012; 23/09/2027; 3; 1(A); A6; Alto; 1 Hora(s); Homicidio
PPL 7; 4404567289; Dario Antonio Gonzales Rivera; 47; 30; 21/07/2021; 21/07/2051; 27; 1(A); A7; Alto; 1 Hora(s); Homicidio
PPL 8; 4609656430; Fabian Diego Guerrero Morales; 50; 29; 16/06/2001; 16/06/2030; 6; 1(A); A8; Alto; 1 Hora(s); Narcotrafico
PPL 9; 1104197993; Gonzalo Antonio Torres Reyes; 50; 28; 19/05/2000; 19/05/2028; 4; 1(A); A9; Alto; 1 Hora(s); Narcotrafico
PPL 10; 4736260389; Pedro Angel Perero Sanchez; 48; 22; 24/12/2007; 24/12/2029; 5; 1(A); A10; Alto; 1 Hora(s); Narcotrafico
PPL 11; 1322884859; Dario Paulo Romero Reyes; 41; 27; 18/06/2003; 18/06/2030; 6; 1(A); A11; Alto; 1 Hora(s); Narcotrafico
PPL 12; 8561023211; Victor Adrian Guerrero Hidalgo; 61; 45; 21/09/1985; 21/09/2030; 6; 1(A); A12; Alto; 1 Hora(s); Narcotrafico
PPL 13; 2694385038; Michael Pablo Perero Rivera; 37; 22; 27/08/2022; 27/08/2044; 20; 1(A); A13; Alto; 1 Hora(s); Homicidio
PPL 14; 4721077811; Roberto Paulo Perero Gomez; 46; 28; 11/11/2001; 11/11/2029; 5; 1(A); A14; Alto; 1 Hora(s); Homicidio
PPL 15; 1247716739; Dario Diego Romero Hidalgo; 40; 29; 13/09/2005; 13/09/2034; 10; 1(A); A15; Alto; 1 Hora(s); Homicidio
PPL 16; 5160834875; Carlos Adrian Garcia Sanchez; 34; 13; 25/03/2023; 25/03/2036; 12; 1(A); A16; Alto; 1 Hora(s); Homicidio
PPL 17; 8996627869; Roberto Paulo Gonzales Rivera; 56; 39; 02/04/1988; 02/04/2027; 3; 1(A); A17; Alto; 1 Hora(s); Homicidio
PPL 18; 6208597342; Carlos Angel Gonzales Morales; 31; 18; 05/02/2012; 05/02/2030; 6; 1(A); A18; Alto; 1 Hora(s); Homicidio
PPL 19; 7254713447; Roberto Antonio Gonzales Morales; 39; 14; 08/04/2018; 08/04/2032; 8; 1(A); A19; Alto; 1 Hora(s); Homicidio
PPL 20; 1688366206; Dario Diego Garcia Sanchez; 49; 25; 01/11/2020; 01/11/2045; 21; 1(A); A20; Alto; 1 Hora(s); Homicidio
PPL 21; 7798783699; Carlos Sergio Cuenca Hidalgo; 63; 46; 12/05/1982; 12/05/2028; 4; 1(A); A21; Alto; 1 Hora(s); Narcotrafico
PPL 22; 4619419373; Mario Antonio Cevallos Gomez; 60; 40; 28/12/1986; 28/12/2026; 2; 1(A); A22; Alto; 1 Hora(s); Homicidio
PPL 23; 8540051948; Carlos Sergio Cuenca Gomez; 45; 24; 12/09/2004; 12/09/2028; 4; 1(A); A23; Alto; 1 Hora(s); Narcotrafico
PPL 24; 2380380796; Roberto Cesar Paredes Ramirez; 41; 12; 13/10/2020; 13/10/2032; 8; 1(A); A24; Alto; 1 Hora(s); Homicidio
PPL 25; 8802530158; Carlos Sergio Paredes Espinosa; 43; 28; 01/08/2003; 01/08/2031; 7; 1(A); A25; Alto; 1 Hora(s); Homicidio
PPL 26; 2382650062; Pedro Antonio Gonzales Espinosa; 42; 23; 26/05/2003; 26/05/2026; 2; 1(A); A26; Alto; 1 Hora(s); Narcotrafico
PPL 27; 4068542338; Fabian Sergio Garcia Morales; 54; 38; 29/08/1989; 29/08/2027; 3; 1(A); A27; Alto; 1 Hora(s); Homicidio
PPL 28; 1360770286; Michael Angel Romero Hidalgo; 60; 44; 27/06/1983; 27/06/2027; 3; 1(A); A28; Alto; 1 Hora(s); Homicidio
PPL 29; 2263949788; Gonzalo Cesar Paredes Reyes; 31; 28; 24/05/2012; 24/05/2040; 16; 1(A); A29; Alto; 1 Hora(s); Narcotrafico
PPL 30; 2677493284; Fabian Adrian Romero Gomez; 43; 26; 25/11/2000; 25/11/2026; 2; 1(A); A30; Alto; 1 Hora(s); Narcotrafico
PPL 31; 7645342876; Victor Sergio Gonzales Roman; 53; 35; 30/10/1993; 30/10/2028; 4; 1(A); A31; Alto; 1 Hora(s); Narcotrafico
PPL 32; 4306698570; Roberto Adrian Garcia Ramirez; 35; 24; 13/10/2013; 13/10/2037; 13; 1(A); A32; Alto; 1 Hora(s); Homicidio
PPL 33; 9592399782; Dario Sergio Perero Rivera; 62; 48; 04/09/1981; 04/09/2029; 5; 1(A); A33; Alto; 1 Hora(s); Homicidio
PPL 34; 5324560029; Michael Antonio Gonzales Rivera; 56; 39; 10/05/1988; 10/05/2027; 3; 1(A); A34; Alto; 1 Hora(s); Narcotrafico
PPL 35; 3759520613; Fabian Sergio Paredes Gomez; 49; 32; 21/07/1997; 21/07/2029; 5; 1(A); A35; Alto; 1 Hora(s); Narcotrafico
PPL 36; 8214764132; Roberto Diego Torres Sanchez; 55; 39; 31/05/1990; 31/05/2029; 5; 1(A); A36; Alto; 1 Hora(s); Narcotrafico
PPL 37; 7165118523; Dario Adrian Romero Hidalgo; 37; 21; 02/10/2009; 02/10/2030; 6; 1(A); A37; Alto; 1 Hora(s); Narcotrafico
PPL 38; 7392498829; Mario Antonio Paredes Espinosa; 32; 6; 16/12/2020; 16/12/2026; 2; 1(A); A38; Alto; 1 Hora(s); Narcotrafico
PPL 39; 5996958961; Michael Angel Paredes Reyes; 45; 29; 21/09/1998; 21/09/2027; 3; 1(A); A39; Alto; 1 Hora(s); Narcotrafico
PPL 40; 6034387525; Gonzalo Diego Paredes Sanchez; 35; 21; 02/08/2022; 02/08/2043; 19; 1(A); A40; Alto; 1 Hora(s); Narcotrafico
PPL 41; 2427220117; Pedro Antonio Garcia Morales; 30; 17; 09/07/2013; 09/07/2030; 6; 1(A); A1; Alto; 1 Hora(s); Narcotrafico
PPL 42; 4333143646; Victor Pablo Guerrero Sanchez; 30; 14; 30/07/2018; 30/07/2032; 8; 1(A); A2; Alto; 1 Hora(s); Narcotrafico
PPL 43; 2659843974; Roberto Adrian Paredes Sanchez; 45; 23; 09/09/2005; 09/09/2028; 4; 1(A); A3; Alto; 1 Hora(s); Homicidio
PPL 44; 4094720739; Mario Cesar Paredes Gomez; 61; 46; 17/03/1982; 17/03/2028; 4; 1(A); A4; Alto; 1 Hora(s); Narcotrafico
PPL 45; 2986779331; Dario Paulo Paredes Sanchez; 41; 20; 01/03/2009; 01/03/2029; 5; 1(A); A5; Alto; 1 Hora(s); Homicidio
PPL 46; 7731311146; Roberto Paulo Cevallos Sanchez; 51; 37; 27/01/1992; 27/01/2029; 5; 1(A); A6; Alto; 1 Hora(s); Narcotrafico
PPL 47; 8969546066; Roberto Adrian Paredes Reyes; 48; 35; 04/01/1995; 04/01/2030; 6; 1(A); A7; Alto; 1 Hora(s); Homicidio
PPL 48; 6465921667; Roberto Antonio Romero Sanchez; 46; 25; 16/10/2001; 16/10/2026; 2; 1(A); A8; Alto; 1 Hora(s); Narcotrafico
PPL 49; 9107565643; Pedro Antonio Paredes Ramirez; 49; 31; 12/08/1997; 12/08/2028; 4; 1(A); A9; Alto; 1 Hora(s); Homicidio
PPL 50; 7900647193; Dario Sergio Guerrero Reyes; 62; 44; 22/04/1983; 22/04/2027; 3; 1(A); A10; Alto; 1 Hora(s); Homicidio
PPL 51; 5981523459; Michael Paulo Perero Espinosa; 48; 18; 30/03/2014; 30/03/2032; 8; 1(A); A11; Alto; 1 Hora(s); Narcotrafico
PPL 52; 3737514658; Victor Adrian Cuenca Reyes; 50; 34; 05/07/1995; 05/07/2029; 5; 1(A); A12; Alto; 1 Hora(s); Homicidio
PPL 53; 9079374878; Victor Antonio Perero Roman; 66; 46; 06/09/1980; 06/09/2026; 2; 1(A); A13; Alto; 1 Hora(s); Homicidio
PPL 54; 1031078722; Carlos Antonio Romero Reyes; 35; 22; 17/11/2017; 17/11/2039; 15; 1(A); A14; Alto; 1 Hora(s); Narcotrafico
PPL 55; 8117619046; Carlos Cesar Torres Sanchez; 42; 13; 11/05/2020; 11/05/2033; 9; 1(A); A15; Alto; 1 Hora(s); Homicidio
PPL 56; 5951425391; Carlos Pablo Cuenca Sanchez; 43; 26; 31/03/2002; 31/03/2028; 4; 1(A); A16; Alto; 1 Hora(s); Narcotrafico
PPL 57; 4251069028; Michael Diego Garcia Ramirez; 33; 16; 04/02/2024; 04/02/2040; 16; 1(A); A17; Alto; 1 Hora(s); Narcotrafico
PPL 58; 4616598130; Dario Paulo Paredes Gomez; 28; 23; 28/02/2016; 28/02/2039; 15; 1(A); A18; Alto; 1 Hora(s); Narcotrafico
PPL 59; 7906862619; Roberto Angel Perero Sanchez; 49; 31; 02/05/1997; 02/05/2028; 4; 1(A); A19; Alto; 1 Hora(s); Narcotrafico
PPL 60; 8504367050; Dario Adrian Torres Reyes; 38; 30; 19/10/2005; 19/10/2035; 11; 1(A); A20; Alto; 1 Hora(s); Homicidio
