#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 81; 1817322549; Roberto Adrian Torres Espinosa; 47; 32; 06/05/1998; 06/05/2030; 6; 2(B); B1; Medio; 2 Hora(s); Robo
PPL 82; 9439961406; Pedro Antonio Paredes Sanchez; 42; 23; 27/09/2018; 27/09/2041; 17; 2(B); B2; Medio; 2 Hora(s); Hurto
PPL 83; 2031559088; Pedro Pablo Gonzales Roman; 49; 30; 12/01/1996; 12/01/2026; 2; 2(B); B3; Medio; 2 Hora(s); Fraude
PPL 84; 8665864275; Victor Diego Romero Morales; 48; 34; 28/07/1995; 28/07/2029; 5; 2(B); B4; Medio; 2 Hora(s); Fraude
PPL 85; 8671468424; Mario Sergio Perero Espinosa; 45; 19; 08/10/2011; 08/10/2030; 6; 2(B); B5; Medio; 2 Hora(s); Evasion
PPL 86; 5926144311; Gonzalo Sergio Perero Sanchez; 57; 42; 15/11/1987; 15/11/2029; 5; 2(B); B6; Medio; 2 Hora(s); Robo
PPL 87; 2906783859; Dario Cesar Cuenca Ramirez; 29; 15; 18/08/2014; 18/08/2029; 5; 2(B); B7; Medio; 2 Hora(s); Robo
PPL 88; 8488933159; Gonzalo Adrian Torres Gomez; 49; 28; 01/05/1997; 01/05/2025; 1; 2(B); B8; Medio; 2 Hora(s); Hurto
PPL 89; 6061877143; Fabian Diego Torres Gomez; 46; 28; 20/11/1997; 20/11/2025; 1; 2(B); B9; Medio; 2 Hora(s); Robo
PPL 90; 1357138404; Roberto Julian Cevallos Ramirez; 49; 27; 16/11/2015; 16/11/2042; 18; 2(B); B10; Medio; 2 Hora(s); Hurto
PPL 91; 2333685149; Carlos Paulo Cuenca Morales; 26; 15; 04/10/2018; 04/10/2033; 9; 2(B); B11; Medio; 2 Hora(s); Fraude
PPL 92; 9745415089; Carlos Paulo Cuenca Sanchez; 30; 16; 15/10/2018; 15/10/2034; 10; 2(B); B12; Medio; 2 Hora(s); Fraude
