#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 261; 3493444121; Roberto Antonio Paredes Reyes; 61; 44; 15/02/1985; 15/02/2029; 5; 3(C); C1; Medio; 2 Hora(s); Fraude
PPL 262; 4679684411; Roberto Diego Guerrero Sanchez; 49; 13; 06/10/2015; 06/10/2028; 4; 3(C); C2; Medio; 2 Hora(s); Hurto
PPL 263; 5779748798; Pedro Paulo Paredes Reyes; 39; 24; 18/01/2004; 18/01/2028; 4; 3(C); C3; Medio; 2 Hora(s); Fraude
PPL 264; 4905413017; Carlos Diego Cuenca Espinosa; 43; 29; 29/05/2000; 29/05/2029; 5; 3(C); C4; Medio; 2 Hora(s); Robo
PPL 265; 5298742823; Roberto Sergio Cevallos Reyes; 44; 28; 07/03/1999; 07/03/2027; 3; 3(C); C5; Medio; 2 Hora(s); Hurto
PPL 266; 8891613889; Michael Angel Torres Ramirez; 39; 30; 29/01/2004; 29/01/2034; 10; 3(C); C6; Medio; 2 Hora(s); Hurto
PPL 267; 9333735146; Roberto Cesar Guerrero Rivera; 49; 30; 25/08/1995; 25/08/2025; 1; 3(C); C7; Medio; 2 Hora(s); Hurto
PPL 268; 5844244496; Dario Angel Cuenca Sanchez; 38; 23; 24/12/2005; 24/12/2028; 4; 3(C); C8; Medio; 2 Hora(s); Hurto
PPL 269; 6858210490; Dario Cesar Garcia Roman; 38; 26; 20/09/2006; 20/09/2032; 8; 3(C); C9; Medio; 2 Hora(s); Evasion
PPL 270; 7130121213; Fabian Angel Torres Rivera; 58; 39; 07/06/1987; 07/06/2026; 2; 3(C); C10; Medio; 2 Hora(s); Robo
PPL 271; 2323148522; Gonzalo Antonio Romero Roman; 64; 48; 20/12/1982; 20/12/2030; 6; 3(C); C11; Medio; 2 Hora(s); Robo
PPL 272; 8874397281; Victor Julian Guerrero Espinosa; 53; 38; 07/06/1990; 07/06/2028; 4; 3(C); C12; Medio; 2 Hora(s); Fraude
PPL 273; 5970712599; Dario Julian Paredes Gomez; 48; 24; 02/01/2003; 02/01/2027; 3; 3(C); C13; Medio; 2 Hora(s); Fraude
PPL 274; 2646965465; Mario Antonio Torres Ramirez; 61; 41; 25/09/1985; 25/09/2026; 2; 3(C); C14; Medio; 2 Hora(s); Hurto
PPL 275; 5805232008; Pedro Adrian Gonzales Sanchez; 36; 22; 04/03/2007; 04/03/2029; 5; 3(C); C15; Medio; 2 Hora(s); Hurto
PPL 276; 8092973685; Roberto Diego Perero Ramirez; 28; 25; 28/02/2017; 28/02/2042; 18; 3(C); C16; Medio; 2 Hora(s); Robo
PPL 277; 4365676888; Michael Adrian Paredes Sanchez; 56; 42; 09/05/1987; 09/05/2029; 5; 3(C); C17; Medio; 2 Hora(s); Hurto
PPL 278; 4089760319; Dario Paulo Cevallos Espinosa; 25; 22; 22/10/2019; 22/10/2041; 17; 3(C); C18; Medio; 2 Hora(s); Fraude
