#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 441; 1504172230; Roberto Julian Paredes Morales; 50; 35; 21/01/1993; 21/01/2028; 4; 4(D); D1; Bajo; 4 Hora(s); Otros
PPL 442; 4716415763; Roberto Cesar Cuenca Sanchez; 61; 44; 13/08/1982; 13/08/2026; 2; 4(D); D2; Bajo; 4 Hora(s); Invasion
PPL 443; 7123554695; Fabian Pablo Paredes Gomez; 66; 48; 16/01/1980; 16/01/2028; 4; 4(D); D3; Bajo; 4 Hora(s); Invasion
PPL 444; 9923056368; Dario Pablo Torres Sanchez; 57; 42; 27/09/1986; 27/09/2028; 4; 4(D); D4; Bajo; 4 Hora(s); Estafa
PPL 445; 7988486070; Gonzalo Antonio Cevallos Morales; 64; 47; 02/05/1981; 02/05/2028; 4; 4(D); D5; Bajo; 4 Hora(s); Invasion
PPL 446; 9106928394; Victor Diego Cuenca Rivera; 48; 29; 13/02/1998; 13/02/2027; 3; 4(D); D6; Bajo; 4 Hora(s); Otros
PPL 447; 2757253273; Fabian Pablo Gonzales Hidalgo; 40; 25; 20/08/2003; 20/08/2028; 4; 4(D); D7; Bajo; 4 Hora(s); Estafa
PPL 448; 6847798934; Dario Diego Romero Rivera; 42; 26; 25/06/2003; 25/06/2029; 5; 4(D); D8; Bajo; 4 Hora(s); Amenazas
PPL 449; 8042285103; Roberto Paulo Garcia Rivera; 38; 20; 10/04/2005; 10/04/2025; 1; 4(D); D9; Bajo; 4 Hora(s); Otros
PPL 450; 7741539677; Carlos Adrian Perero Gomez; 62; 45; 18/04/1982; 18/04/2027; 3; 4(D); D10; Bajo; 4 Hora(s); Otros
PPL 451; 6188992228; Carlos Paulo Paredes Roman; 64; 46; 21/11/1980; 21/11/2026; 2; 4(D); D11; Bajo; 4 Hora(s); Otros
PPL 452; 1920124023; Mario Antonio Paredes Morales; 46; 29; 16/07/1997; 16/07/2026; 2; 4(D); D12; Bajo; 4 Hora(s); Otros
PPL 453; 6258014207; Michael Julian Gonzales Ramirez; 45; 19; 11/01/2019; 11/01/2038; 14; 4(D); D13; Bajo; 4 Hora(s); Otros
