#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 621; 5640752422; Victor Adrian Garcia Reyes; 54; 36; 14/02/1990; 14/02/2026; 2; 5(E); E1; Bajo; 4 Hora(s); Amenazas
PPL 622; 2205930646; Roberto Cesar Gonzales Ramirez; 44; 19; 06/03/2008; 06/03/2027; 3; 5(E); E2; Bajo; 4 Hora(s); Estafa
PPL 623; 6605636596; Michael Sergio Garcia Gomez; 32; 17; 04/05/2017; 04/05/2034; 10; 5(E); E3; Bajo; 4 Hora(s); Estafa
PPL 624; 9406873510; Roberto Cesar Gonzales Hidalgo; 40; 13; 16/02/2014; 16/02/2027; 3; 5(E); E4; Bajo; 4 Hora(s); Otros
PPL 625; 6771990685; Gonzalo Antonio Gonzales Sanchez; 39; 9; 13/07/2023; 13/07/2032; 8; 5(E); E5; Bajo; 4 Hora(s); Amenazas
PPL 626; 3041132549; Carlos Julian Garcia Sanchez; 46; 17; 04/08/2010; 04/08/2027; 3; 5(E); E6; Bajo; 4 Hora(s); Estafa
PPL 627; 7021419868; Pedro Antonio Gonzales Hidalgo; 46; 27; 18/01/2002; 18/01/2029; 5; 5(E); E7; Bajo; 4 Hora(s); Invasion
PPL 628; 6946470383; Fabian Paulo Garcia Gomez; 54; 40; 24/09/1990; 24/09/2030; 6; 5(E); E8; Bajo; 4 Hora(s); Amenazas
PPL 629; 1645056816; Fabian Diego Romero Espinosa; 21; 29; 17/04/2024; 17/04/2053; 29; 5(E); E9; Bajo; 4 Hora(s); Otros
PPL 630; 7853113864; Roberto Antonio Cuenca Rivera; 54; 40; 03/03/1989; 03/03/2029; 5; 5(E); E10; Bajo; 4 Hora(s); Estafa
PPL 631; 1540348398; Roberto Angel Torres Rivera; 46; 33; 22/12/1997; 22/12/2030; 6; 5(E); E11; Bajo; 4 Hora(s); Invasion
PPL 632; 9265724925; Victor Paulo Guerrero Espinosa; 28; 25; 25/11/2016; 25/11/2041; 17; 5(E); E12; Bajo; 4 Hora(s); Invasion
PPL 633; 9998576104; Gonzalo Antonio Cevallos Roman; 38; 19; 06/09/2007; 06/09/2026; 2; 5(E); E13; Bajo; 4 Hora(s); Amenazas
PPL 634; 2032463467; Victor Julian Cevallos Gomez; 44; 5; 04/03/2022; 04/03/2027; 3; 5(E); E14; Bajo; 4 Hora(s); Otros
PPL 635; 2009997969; Carlos Antonio Paredes Reyes; 60; 43; 19/11/1984; 19/11/2027; 3; 5(E); E15; Bajo; 4 Hora(s); Otros
PPL 636; 2743456430; Dario Julian Cuenca Sanchez; 46; 29; 28/03/1997; 28/03/2026; 2; 5(E); E16; Bajo; 4 Hora(s); Estafa
PPL 637; 3645689061; Mario Adrian Paredes Ramirez; 66; 50; 25/07/1980; 25/07/2030; 6; 5(E); E17; Bajo; 4 Hora(s); Estafa
PPL 638; 3209134184; Fabian Antonio Gonzales Sanchez; 51; 35; 01/01/1992; 01/01/2027; 3; 5(E); E18; Bajo; 4 Hora(s); Estafa
PPL 639; 6258412810; Pedro Paulo Paredes Reyes; 45; 18; 01/03/2016; 01/03/2034; 10; 5(E); E19; Bajo; 4 Hora(s); Otros
PPL 640; 8641843851; Mario Diego Cuenca Espinosa; 30; 26; 31/09/2021; 31/09/2047; 23; 5(E); E20; Bajo; 4 Hora(s); Invasion
PPL 641; 5516457204; Victor Antonio Guerrero Rivera; 43; 21; 27/04/2006; 27/04/2027; 3; 5(E); E21; Bajo; 4 Hora(s); Amenazas
PPL 642; 3306865243; Fabian Paulo Perero Espinosa; 56; 41; 31/05/1988; 31/05/2029; 5; 5(E); E22; Bajo; 4 Hora(s); Otros
PPL 643; 8434561434; Roberto Antonio Garcia Hidalgo; 40; 23; 28/06/2004; 28/06/2027; 3; 5(E); E23; Bajo; 4 Hora(s); Invasion
PPL 644; 3827078469; Carlos Sergio Garcia Espinosa; 60; 44; 05/08/1984; 05/08/2028; 4; 5(E); E24; Bajo; 4 Hora(s); Invasion
PPL 645; 6446658108; Fabian Pablo Cuenca Morales; 29; 19; 29/12/2016; 29/12/2035; 11; 5(E); E25; Bajo; 4 Hora(s); Invasion
PPL 646; 8512043106; Mario Julian Cuenca Roman; 63; 47; 27/12/1980; 27/12/2027; 3; 5(E); E26; Bajo; 4 Hora(s); Invasion
PPL 647; 2386910672; Roberto Diego Paredes Reyes; 63; 45; 19/03/1981; 19/03/2026; 2; 5(E); E27; Bajo; 4 Hora(s); Invasion
PPL 648; 4606818400; Carlos Diego Paredes Sanchez; 44; 30; 07/01/2000; 07/01/2030; 6; 5(E); E28; Bajo; 4 Hora(s); Estafa
PPL 649; 5812411041; Carlos Paulo Cuenca Hidalgo; 50; 33; 10/02/1995; 10/02/2028; 4; 5(E); E29; Bajo; 4 Hora(s); Otros
PPL 650; 1777390232; Mario Antonio Torres Hidalgo; 33; 24; 09/01/2014; 09/01/2038; 14; 5(E); E30; Bajo; 4 Hora(s); Invasion
